Media Category,Sentiment/Emotion,Quotation_Sum,Quotation_Count,Fulltext_Sum,Fulltext_Count,Quotation_Average,Fulltext_Average
Scientific,joy,454.0,462,179,134,0.9826839826839827,1.335820895522388
Scientific,sadness,848.0,462,560,134,1.8354978354978355,4.17910447761194
Scientific,anger,526.0,462,345,134,1.1385281385281385,2.574626865671642
Scientific,fear,1432.0,462,752,134,3.0995670995670994,5.611940298507463
Scientific,surprise,839.0,462,470,134,1.816017316017316,3.5074626865671643
Scientific,disgust,531.0,462,359,134,1.1493506493506493,2.6791044776119404
Scientific,trust,1450.0,462,563,134,3.1385281385281387,4.201492537313433
Scientific,anticipation,1507.0,462,663,134,3.261904761904762,4.947761194029851
Scientific,negative_sentiment,1407.0,462,739,134,3.0454545454545454,5.514925373134329
Scientific,positive_sentiment,1043.0,462,385,134,2.257575757575758,2.873134328358209
Left,joy,127.0,206,60,62,0.616504854368932,0.967741935483871
Left,sadness,519.0,206,343,62,2.5194174757281553,5.532258064516129
Left,anger,272.0,206,177,62,1.3203883495145632,2.8548387096774195
Left,fear,791.0,206,393,62,3.8398058252427183,6.338709677419355
Left,surprise,437.0,206,248,62,2.121359223300971,4.0
Left,disgust,326.0,206,220,62,1.5825242718446602,3.5483870967741935
Left,trust,506.0,206,213,62,2.4563106796116503,3.435483870967742
Left,anticipation,645.0,206,304,62,3.1310679611650487,4.903225806451613
Left,negative_sentiment,812.0,206,410,62,3.941747572815534,6.612903225806452
Left,positive_sentiment,368.0,206,135,62,1.7864077669902914,2.1774193548387095
Lean Left,joy,2247.0,2350,824,728,0.9561702127659575,1.1318681318681318
Lean Left,sadness,5226.0,2350,3522,728,2.2238297872340427,4.837912087912088
Lean Left,anger,2800.0,2350,1659,728,1.1914893617021276,2.2788461538461537
Lean Left,fear,7787.0,2350,4100,728,3.313617021276596,5.631868131868132
Lean Left,surprise,4400.0,2350,2387,728,1.872340425531915,3.2788461538461537
Lean Left,disgust,3200.0,2350,2132,728,1.3617021276595744,2.9285714285714284
Lean Left,trust,7204.0,2350,2946,728,3.065531914893617,4.0467032967032965
Lean Left,anticipation,7435.0,2350,3298,728,3.1638297872340426,4.53021978021978
Lean Left,negative_sentiment,7965.0,2350,4294,728,3.3893617021276596,5.898351648351649
Lean Left,positive_sentiment,5192.0,2350,1761,728,2.2093617021276595,2.418956043956044
Center,joy,1371.0,1434,673,648,0.9560669456066946,1.0385802469135803
Center,sadness,3162.0,1434,2964,648,2.205020920502092,4.574074074074074
Center,anger,1649.0,1434,1299,648,1.1499302649930265,2.0046296296296298
Center,fear,4827.0,1434,3619,648,3.3661087866108788,5.584876543209877
Center,surprise,2597.0,1434,2063,648,1.8110181311018132,3.183641975308642
Center,disgust,1861.0,1434,1824,648,1.297768479776848,2.814814814814815
Center,trust,4495.0,1434,2488,648,3.1345885634588564,3.8395061728395063
Center,anticipation,4612.0,1434,2938,648,3.2161785216178522,4.533950617283951
Center,negative_sentiment,4833.0,1434,3742,648,3.3702928870292888,5.7746913580246915
Center,positive_sentiment,3170.0,1434,1480,648,2.210599721059972,2.2839506172839505
Lean Right,joy,847.0,860,286,272,0.9848837209302326,1.0514705882352942
Lean Right,sadness,1684.0,860,1226,272,1.958139534883721,4.507352941176471
Lean Right,anger,858.0,860,576,272,0.9976744186046511,2.1176470588235294
Lean Right,fear,2742.0,860,1516,272,3.188372093023256,5.573529411764706
Lean Right,surprise,1415.0,860,855,272,1.6453488372093024,3.1433823529411766
Lean Right,disgust,1024.0,860,783,272,1.1906976744186046,2.8786764705882355
Lean Right,trust,2952.0,860,1146,272,3.432558139534884,4.213235294117647
Lean Right,anticipation,2751.0,860,1195,272,3.1988372093023254,4.393382352941177
Lean Right,negative_sentiment,2666.0,860,1556,272,3.1,5.720588235294118
Lean Right,positive_sentiment,2043.0,860,657,272,2.375581395348837,2.4154411764705883
Right,joy,576.0,585,209,189,0.9846153846153847,1.1058201058201058
Right,sadness,1368.0,585,892,189,2.3384615384615386,4.71957671957672
Right,anger,689.0,585,442,189,1.1777777777777778,2.3386243386243386
Right,fear,2062.0,585,1100,189,3.5247863247863247,5.8201058201058204
Right,surprise,1136.0,585,656,189,1.9418803418803419,3.4708994708994707
Right,disgust,801.0,585,574,189,1.3692307692307693,3.037037037037037
Right,trust,1900.0,585,741,189,3.247863247863248,3.9206349206349205
Right,anticipation,1932.0,585,890,189,3.3025641025641024,4.708994708994709
Right,negative_sentiment,2079.0,585,1135,189,3.5538461538461537,6.005291005291006
Right,positive_sentiment,1331.0,585,448,189,2.275213675213675,2.3703703703703702
