Media Category,Sentiment/Emotion,Quotation_Sum,Quotation_Count,Quotation_SD,Quotation_SEM,Fulltext_Sum,Fulltext_Count,Fulltext_SD,Fulltext_SEM,Quotation_Average,Fulltext_Average
Lean Left,joy,2247.0,2350,1.3231548808127171,0.02729460112322516,824,728,0.867684121667574,0.032158513113188854,0.9561702127659575,1.1318681318681318
Lean Left,sadness,5226.0,2350,1.985072595824077,0.04094892101398095,3522,728,1.6203968243811175,0.06005590193961609,2.2238297872340427,4.837912087912088
Lean Left,anger,2800.0,2350,1.3466496254808062,0.02777926069974701,1659,728,1.1481665492065867,0.04255388350062585,1.1914893617021276,2.2788461538461537
Lean Left,fear,7787.0,2350,2.144211594302332,0.044231707896757316,4100,728,1.2419427582517428,0.04602946104431538,3.313617021276596,5.631868131868132
Lean Left,surprise,4400.0,2350,1.3732378123452693,0.028327733116377134,2387,728,1.0050725751846048,0.037250467977520074,1.872340425531915,3.2788461538461537
Lean Left,disgust,3200.0,2350,1.544094779939945,0.031852243245347106,2132,728,1.1869798661282465,0.0439924007329024,1.3617021276595744,2.9285714285714284
Lean Left,trust,7204.0,2350,2.0645096564011305,0.042587582454371345,2946,728,1.28284206053833,0.047545290037907806,3.065531914893617,4.0467032967032965
Lean Left,anticipation,7435.0,2350,1.4336355872340005,0.029573644081316998,3298,728,1.0538037246124652,0.03905656453819565,3.1638297872340426,4.53021978021978
Lean Left,negative_sentiment,7965.0,2350,2.4235201663757198,0.049993403806731264,4294,728,1.4270322133965851,0.052889332651679874,3.3893617021276596,5.898351648351649
Lean Left,positive_sentiment,5192.0,2350,1.8552325002179997,0.03827052434949333,1761,728,1.0405918368073024,0.03856689939782665,2.2093617021276595,2.418956043956044
Scientific,joy,454.0,462,1.1311613365611208,0.052626388154167675,179,134,0.7453518102640213,0.06438858948369967,0.9826839826839827,1.335820895522388
Scientific,sadness,848.0,462,1.4381672443675935,0.06690959563981624,560,134,1.3368729435506745,0.11548823249474398,1.8354978354978355,4.17910447761194
Scientific,anger,526.0,462,1.2065747211734694,0.05613493633589254,345,134,1.2999529527151392,0.11229883105918675,1.1385281385281385,2.574626865671642
Scientific,fear,1432.0,462,2.013738019212406,0.0936875715378118,752,134,1.2500252494363788,0.10798573441675516,3.0995670995670994,5.611940298507463
Scientific,surprise,839.0,462,1.3101981700562748,0.06095593548651672,470,134,1.10872322869387,0.09577909899772558,1.816017316017316,3.5074626865671643
Scientific,disgust,531.0,462,1.2151384281450786,0.056533356041870625,359,134,1.0732618139732653,0.09271569934736792,1.1493506493506493,2.6791044776119404
Scientific,trust,1450.0,462,1.8925210716921217,0.08804804875279558,563,134,1.3752913607710764,0.1188070782544956,3.1385281385281387,4.201492537313433
Scientific,anticipation,1507.0,462,1.3889160896692552,0.06461822455028143,663,134,0.8869747873361408,0.07662295130664336,3.261904761904762,4.947761194029851
Scientific,negative_sentiment,1407.0,462,2.10259908087408,0.09782176227758345,739,134,1.3695675988876168,0.11831262053782893,3.0454545454545454,5.514925373134329
