Media Category,Sentiment/Emotion,Quotation_Sum,Quotation_Count,Quotation_SD,Quotation_SEM,Fulltext_Sum,Fulltext_Count,Fulltext_SD,Fulltext_SEM,Quotation_Average,Fulltext_Average
Lean Right,joy,91.0,141,0.8462923487867505,0.07127067273146585,30,39,0.48458003855419196,0.07759490694448071,0.6453900709219859,0.7692307692307693
Lean Right,sadness,313.0,141,1.7488453275623248,0.14727934522548175,175,39,1.2327076503157992,0.19739120022647585,2.219858156028369,4.487179487179487
Lean Right,anger,161.0,141,1.216444234431343,0.10244308488966465,87,39,1.4772224730276118,0.2365449073652966,1.1418439716312057,2.230769230769231
Lean Right,fear,608.0,141,2.3425710898590815,0.19728007435597145,247,39,1.1547005383792517,0.18490006540840973,4.3120567375886525,6.333333333333333
Lean Right,surprise,298.0,141,1.4594137696914973,0.12290481097766247,135,39,1.0965533045855869,0.1755890562121574,2.1134751773049647,3.4615384615384617
Lean Right,disgust,211.0,141,1.5288843433561858,0.12875528868459354,118,39,1.385776990625219,0.22190191109438587,1.49645390070922,3.0256410256410255
Lean Right,trust,448.0,141,2.064266344744933,0.17384258678199063,155,39,1.441621519188859,0.23084419235339698,3.1773049645390072,3.9743589743589745
Lean Right,anticipation,529.0,141,1.4743329163135555,0.12416122977650641,197,39,1.0990119473685624,0.17598275414186149,3.75177304964539,5.051282051282051
Lean Right,negative_sentiment,564.0,141,2.449489742783178,0.20628424925175867,238,39,1.2730996528339342,0.20385909701819524,4.0,6.102564102564102
Lean Right,positive_sentiment,287.0,141,1.5464768600999892,0.13023684586181242,85,39,0.7564388475577302,0.12112715612586708,2.0354609929078014,2.1794871794871793
Lean Left,joy,256.0,347,0.9929454150949244,0.05330410274929945,95,94,0.5183655216171044,0.053465321232390325,0.7377521613832853,1.0106382978723405
Lean Left,sadness,741.0,347,1.6903620074055217,0.09074338705480828,468,94,1.5025335120822503,0.15497449875774763,2.1354466858789625,4.9787234042553195
Lean Left,anger,387.0,347,1.0662844692384743,0.05724114945717965,220,94,1.1598404737300738,0.1196284106876062,1.1152737752161384,2.3404255319148937
Lean Left,fear,1360.0,347,2.1928289815243667,0.11771722751914038,617,94,0.9789011904214625,0.10096594857887212,3.919308357348703,6.5638297872340425
Lean Left,surprise,744.0,347,1.410935192926558,0.07574296970712133,357,94,0.9900557954738978,0.10211645824334287,2.1440922190201728,3.797872340425532
Lean Left,disgust,446.0,347,1.3480397277507847,0.0723665642298133,284,94,1.1729818944990988,0.12098384474632609,1.2853025936599423,3.021276595744681
Lean Left,trust,1009.0,347,1.9226734994318546,0.10321452137152286,387,94,1.2344201806265718,0.12732072011088635,2.9077809798270895,4.117021276595745
Lean Left,anticipation,1225.0,347,1.4409697648357147,0.07735531000573066,507,94,0.8323833523675006,0.08585378746639598,3.5302593659942363,5.3936170212765955
Lean Left,negative_sentiment,1264.0,347,2.2907761518871004,0.12297530712114868,596,94,1.1782362569495874,0.12152579085302394,3.642651296829971,6.340425531914893
Lean Left,positive_sentiment,701.0,347,1.6260690477498716,0.08729196014307446,246,94,0.962818253249153,0.09930712026869559,2.0201729106628243,2.617021276595745
Scientific,joy,64.0,71,0.9126872344497678,0.10831604695126576,20,19,0.404651319111256,0.09283337933559967,0.9014084507042254,1.0526315789473684
Scientific,sadness,118.0,71,1.1825355563585873,0.1403411508448435,82,19,1.3764944032233706,0.3157894736842105,1.6619718309859155,4.315789473684211
Scientific,anger,66.0,71,1.1871206902413904,0.1408853061240909,41,19,1.2588865404147536,0.2888083795290233,0.9295774647887324,2.1578947368421053
Scientific,fear,231.0,71,1.9979869144370215,0.2371174223365189,112,19,1.3701069237311883,0.3143240853889283,3.2535211267605635,5.894736842105263
Scientific,surprise,122.0,71,1.2210428633116308,0.14491112740467477,69,19,1.2115429242540032,0.2779470090834186,1.7183098591549295,3.6315789473684212
Scientific,disgust,73.0,71,1.206788311249746,0.14321942331139334,50,19,1.1160708020048364,0.25604420209344597,1.028169014084507,2.6315789473684212
Scientific,trust,232.0,71,2.0351043952083585,0.24152245687429746,82,19,1.5653409844697797,0.3591138507098021,3.267605633802817,4.315789473684211
Scientific,anticipation,226.0,71,1.3970362420386297,0.16579769878835143,94,19,0.9703197760719181,0.22260662351665822,3.183098591549296,4.947368421052632
Scientific,negative_sentiment,214.0,71,2.02479598793472,0.24029907400654282,106,19,1.3870748387117167,0.31821679205643955,3.0140845070422535,5.578947368421052
Scientific,positive_sentiment,156.0,71,1.6786024655720446,0.19921346175398816,53,19,0.8549819600709617,0.196146313815771,2.1971830985915495,2.789473684210526
Right,joy,71.0,113,0.9746307933326666,0.09168555262573004,29,34,0.7439596331985203,0.12758802449668608,0.6283185840707964,0.8529411764705882
Right,sadness,274.0,113,1.8936232736217684,0.17813709303528602,159,34,1.4918076940673124,0.25584290883725275,2.424778761061947,4.676470588235294
Right,anger,136.0,113,1.0951132690551617,0.10301959054439717,83,34,1.501336303160343,0.25747705181508357,1.2035398230088497,2.4411764705882355
Right,fear,501.0,113,2.4011757023334654,0.22588360918407316,223,34,1.1597067672891526,0.1988880697702824,4.433628318584071,6.5588235294117645
Right,surprise,251.0,113,1.4313736738478098,0.13465230854435314,130,34,0.90354816528369,0.15495723195426256,2.2212389380530975,3.823529411764706
Right,disgust,158.0,113,1.3663025117921201,0.12853092853677733,108,34,1.2178119533221001,0.2088530269643752,1.3982300884955752,3.176470588235294
Right,trust,311.0,113,1.9709088433445376,0.18540750786159846,127,34,1.2384942844808053,0.21240001749554194,2.752212389380531,3.735294117647059
Right,anticipation,410.0,113,1.6539708186744253,0.15559248648245347,182,34,1.2030857532895447,0.20632750449426634,3.6283185840707963,5.352941176470588
Right,negative_sentiment,466.0,113,2.464507859314309,0.23184139735523568,216,34,1.276414318153182,0.21890324961891083,4.123893805309734,6.352941176470588
Right,positive_sentiment,209.0,113,1.6432830756601091,0.15458706819350465,76,34,1.0461711873769428,0.17941687845200419,1.8495575221238938,2.235294117647059
Left,joy,42.0,66,1.002095706105861,0.12334945456855766,15,16,0.25,0.0625,0.6363636363636364,0.9375
Left,sadness,154.0,66,1.7657714229052177,0.21735143717410113,88,16,1.3165611772087666,0.32914029430219166,2.3333333333333335,5.5
Left,anger,87.0,66,1.2668445464598665,0.15593778406278153,49,16,1.4818344486930155,0.3704586121732539,1.3181818181818181,3.0625
Left,fear,263.0,66,2.249734509071095,0.27692317502921826,108,16,1.0645812948447542,0.26614532371118854,3.984848484848485,6.75
