Media Category,Sentiment/Emotion,Quotation_Sum,Quotation_Count,Quotation_SD,Quotation_SEM,Fulltext_Sum,Fulltext_Count,Fulltext_SD,Fulltext_SEM,Quotation_Average,Fulltext_Average
Right,joy,162.0,254,0.9038284084461777,0.05671123817283369,59,73,0.615935021973714,0.07208974157007737,0.6377952755905512,0.8082191780821918
Right,sadness,587.0,254,1.8139001435208857,0.11381421749931186,334,73,1.3531630457230577,0.15837575521483677,2.311023622047244,4.575342465753424
Right,anger,297.0,254,1.1621849268143203,0.07292196789737113,170,73,1.481879385935193,0.17344086333615252,1.169291338582677,2.328767123287671
Right,fear,1109.0,254,2.3648854261140837,0.14838610891019094,470,73,1.154535757709361,0.13512818956125747,4.366141732283465,6.438356164383562
Right,surprise,549.0,254,1.4451525758361188,0.09067693730187357,265,73,1.0207139292762537,0.11946552924156283,2.161417322834646,3.6301369863013697
Right,disgust,369.0,254,1.4567996094994378,0.09140773719034247,226,73,1.3034610291413036,0.15255857417614715,1.452755905511811,3.095890410958904
Right,trust,759.0,254,2.030366861580752,0.12739654738589867,282,73,1.3469623076178021,0.15765001371353488,2.9881889763779528,3.863013698630137
Right,anticipation,939.0,254,1.5548692868754657,0.09756117602810398,379,73,1.150573941882139,0.13466449409185963,3.6968503937007875,5.191780821917808
Right,negative_sentiment,1030.0,254,2.4520930371163887,0.1538580010877536,454,73,1.2719907335274123,0.14887525467489596,4.05511811023622,6.219178082191781
Right,positive_sentiment,496.0,254,1.5897809415635422,0.09975172806820522,161,73,0.8968912994583792,0.10497318659883699,1.952755905511811,2.2054794520547945
Left,joy,298.0,413,0.9938869075655478,0.04890597751683342,110,110,0.48839749189747395,0.04656687372056187,0.7215496368038741,1.0
Left,sadness,895.0,413,1.701992090215041,0.08374955567305882,556,110,1.482846033915946,0.14138382189500553,2.1670702179176757,5.054545454545455
Left,anger,474.0,413,1.1016209534907386,0.05420722335044694,269,110,1.2309939568365638,0.1173706685431067,1.1476997578692494,2.4454545454545453
Left,fear,1623.0,413,2.19938411524163,0.10822461717938853,725,110,0.9888873790985758,0.09428671209476157,3.929782082324455,6.590909090909091
Left,surprise,891.0,413,1.4165885931353797,0.06970576768757014,429,110,1.0132154285181192,0.09660630059384682,2.1573849878934626,3.9
Left,disgust,544.0,413,1.3859978896863794,0.06820049757714537,342,110,1.2586978457473719,0.12001213070841384,1.3171912832929782,3.109090909090909
Left,trust,1171.0,413,1.9124044960556865,0.09410327329522881,444,110,1.233532056513073,0.11761266685203949,2.835351089588378,4.036363636363636
Left,anticipation,1446.0,413,1.418711122535737,0.06981021053146165,596,110,0.8713778836877547,0.08308262131922711,3.5012106537530268,5.418181818181818
Left,negative_sentiment,1519.0,413,2.308789395890468,0.11360809909760873,704,110,1.1509868123492273,0.1097422866290025,3.6779661016949152,6.4
Left,positive_sentiment,821.0,413,1.6107492884293333,0.0792597909133692,284,110,0.922519666698876,0.08795879900406911,1.9878934624697338,2.581818181818182
Scientific,joy,64.0,71,0.9126872344497678,0.10831604695126576,20,19,0.404651319111256,0.09283337933559967,0.9014084507042254,1.0526315789473684
Scientific,sadness,118.0,71,1.1825355563585873,0.1403411508448435,82,19,1.3764944032233706,0.3157894736842105,1.6619718309859155,4.315789473684211
Scientific,anger,66.0,71,1.1871206902413904,0.1408853061240909,41,19,1.2588865404147536,0.2888083795290233,0.9295774647887324,2.1578947368421053
Scientific,fear,231.0,71,1.9979869144370215,0.2371174223365189,112,19,1.3701069237311883,0.3143240853889283,3.2535211267605635,5.894736842105263
Scientific,surprise,122.0,71,1.2210428633116308,0.14491112740467477,69,19,1.2115429242540032,0.2779470090834186,1.7183098591549295,3.6315789473684212
Scientific,disgust,73.0,71,1.206788311249746,0.14321942331139334,50,19,1.1160708020048364,0.25604420209344597,1.028169014084507,2.6315789473684212
