Media Category,Sentiment/Emotion,Quotation_Sum,Quotation_Count,Fulltext_Sum,Fulltext_Count,Quotation_Average,Fulltext_Average
Scientific,joy,454.0,462,179,134,0.9826839826839827,1.335820895522388
Scientific,sadness,848.0,462,560,134,1.8354978354978355,4.17910447761194
Scientific,anger,526.0,462,345,134,1.1385281385281385,2.574626865671642
Scientific,fear,1432.0,462,752,134,3.0995670995670994,5.611940298507463
Scientific,surprise,839.0,462,470,134,1.816017316017316,3.5074626865671643
Scientific,disgust,531.0,462,359,134,1.1493506493506493,2.6791044776119404
Scientific,trust,1450.0,462,563,134,3.1385281385281387,4.201492537313433
Scientific,anticipation,1507.0,462,663,134,3.261904761904762,4.947761194029851
Scientific,negative_sentiment,1407.0,462,739,134,3.0454545454545454,5.514925373134329
Scientific,positive_sentiment,1043.0,462,385,134,2.257575757575758,2.873134328358209
Left,joy,124.0,195,58,60,0.6358974358974359,0.9666666666666667
Left,sadness,478.0,195,332,60,2.4512820512820515,5.533333333333333
Left,anger,250.0,195,171,60,1.2820512820512822,2.85
Left,fear,752.0,195,382,60,3.8564102564102565,6.366666666666666
Left,surprise,416.0,195,242,60,2.1333333333333333,4.033333333333333
Left,disgust,297.0,195,213,60,1.523076923076923,3.55
Left,trust,494.0,195,206,60,2.533333333333333,3.433333333333333
Left,anticipation,624.0,195,294,60,3.2,4.9
Left,negative_sentiment,759.0,195,398,60,3.8923076923076922,6.633333333333334
Left,positive_sentiment,357.0,195,129,60,1.8307692307692307,2.15
Lean Left,joy,2292.0,2399,850,748,0.9553980825343893,1.1363636363636365
Lean Left,sadness,5351.0,2399,3611,748,2.2305127136306795,4.827540106951871
Lean Left,anger,2876.0,2399,1702,748,1.1988328470195915,2.2754010695187166
Lean Left,fear,7975.0,2399,4220,748,3.3243017924135057,5.641711229946524
Lean Left,surprise,4512.0,2399,2452,748,1.8807836598582743,3.27807486631016
Lean Left,disgust,3272.0,2399,2189,748,1.3639016256773655,2.926470588235294
Lean Left,trust,7341.0,2399,3027,748,3.060025010421009,4.0467914438502675
Lean Left,anticipation,7590.0,2399,3391,748,3.1638182576073364,4.533422459893048
Lean Left,negative_sentiment,8153.0,2399,4410,748,3.3984993747394747,5.89572192513369
Lean Left,positive_sentiment,5289.0,2399,1812,748,2.204668611921634,2.4224598930481283
Center,joy,1371.0,1434,673,648,0.9560669456066946,1.0385802469135803
Center,sadness,3162.0,1434,2964,648,2.205020920502092,4.574074074074074
Center,anger,1649.0,1434,1299,648,1.1499302649930265,2.0046296296296298
Center,fear,4827.0,1434,3619,648,3.3661087866108788,5.584876543209877
Center,surprise,2597.0,1434,2063,648,1.8110181311018132,3.183641975308642
Center,disgust,1861.0,1434,1824,648,1.297768479776848,2.814814814814815
Center,trust,4495.0,1434,2488,648,3.1345885634588564,3.8395061728395063
Center,anticipation,4612.0,1434,2938,648,3.2161785216178522,4.533950617283951
Center,negative_sentiment,4833.0,1434,3742,648,3.3702928870292888,5.7746913580246915
Center,positive_sentiment,3170.0,1434,1480,648,2.210599721059972,2.2839506172839505
Lean Right,joy,843.0,855,285,271,0.9859649122807017,1.051660516605166
Lean Right,sadness,1678.0,855,1224,271,1.9625730994152046,4.516605166051661
Lean Right,anger,856.0,855,573,271,1.001169590643275,2.114391143911439
Lean Right,fear,2731.0,855,1512,271,3.1941520467836257,5.5793357933579335
Lean Right,surprise,1409.0,855,853,271,1.647953216374269,3.1476014760147604
Lean Right,disgust,1022.0,855,781,271,1.1953216374269007,2.8819188191881917
Lean Right,trust,2937.0,855,1141,271,3.4350877192982456,4.210332103321033
Lean Right,anticipation,2741.0,855,1192,271,3.205847953216374,4.398523985239852
Lean Right,negative_sentiment,2655.0,855,1552,271,3.1052631578947367,5.726937269372693
Lean Right,positive_sentiment,2033.0,855,654,271,2.3777777777777778,2.4132841328413286
Right,joy,565.0,575,207,186,0.9826086956521739,1.1129032258064515
Right,sadness,1343.0,575,883,186,2.3356521739130436,4.747311827956989
Right,anger,681.0,575,430,186,1.1843478260869564,2.3118279569892475
Right,fear,2026.0,575,1081,186,3.5234782608695654,5.811827956989247
Right,surprise,1112.0,575,643,186,1.9339130434782608,3.456989247311828
Right,disgust,791.0,575,562,186,1.3756521739130434,3.021505376344086
Right,trust,1861.0,575,735,186,3.236521739130435,3.9516129032258065
Right,anticipation,1894.0,575,875,186,3.293913043478261,4.704301075268817
Right,negative_sentiment,2044.0,575,1115,186,3.554782608695652,5.994623655913978
Right,positive_sentiment,1303.0,575,443,186,2.266086956521739,2.381720430107527
